Nodes,Repetition,System Time,Object at Room,Rooms Explored (Optimal),Traveled Distance (Optimal),Rooms Explored (Worst),Traveled Distance (Worst),Rooms Explored (OptimalExpected),Traveled Distance (OptimalExpected),Rooms Explored (WorstExpected),Traveled Distance (WorstExpected),Rooms Explored (Most Probable),Traveled Distance (Most Probable),Rooms Explored (Closest),Traveled Distance (Closest),Rooms Explored (Random),Traveled Distance (Random),Rooms Explored (ExpectedTimeFixed),Traveled Distance (ExpectedTimeFixed),Rooms Explored (ExpectedTimeVariable),Traveled Distance (ExpectedTimeVariable)
14,837,1412440204,4,8,479.224,13,1698.31,2,51.6301,12,1534.23,2,51.6301,2,51.6301,10,785.904,2,51.6301,2,51.6301
14,838,1412440204,4,8,479.224,13,1698.31,2,51.6301,12,1534.23,2,51.6301,2,51.6301,10,785.904,2,51.6301,2,51.6301
14,839,1412440204,3,4,193.857,9,1120.93,10,566.819,14,1789.58,3,182.048,12,755.265,4,219.923,5,353.494,10,566.819
14,840,1412440204,2,9,542.948,6,690.211,3,115.353,9,1135.04,4,292.745,3,115.353,7,539.393,6,464.191,3,115.353
14,841,1412440204,2,9,542.948,6,690.211,3,115.353,9,1135.04,4,292.745,3,115.353,7,539.393,6,464.191,3,115.353
14,842,1412440204,7,11,675.305,4,429.309,5,247.711,8,987.765,5,440.022,5,247.711,6,392.116,4,274.243,5,247.711
14,843,1412440204,3,4,193.857,9,1120.93,10,566.819,14,1789.58,3,182.048,12,755.265,4,219.923,5,353.494,10,566.819
14,844,1412440204,1,5,258.017,2,145.223,9,502.659,2,145.223,10,922.885,13,819.425,3,155.762,14,1244.34,9,502.659
14,845,1412440204,10,2,56.3096,7,837.275,12,704.366,6,702.781,9,849.057,14,893.253,11,920.996,3,186.722,11,707.04
14,846,1412440204,5,3,132.976,12,1548.42,11,627.7,4,426.279,14,1261.26,11,694.384,2,65.6679,13,1154.25,14,1009.89
14,847,1412440204,5,3,132.976,12,1548.42,11,627.7,4,426.279,14,1261.26,11,694.384,2,65.6679,13,1154.25,14,1009.89
14,848,1412440204,2,9,542.948,6,690.211,3,115.353,9,1135.04,4,292.745,3,115.353,7,539.393,6,464.191,3,115.353
14,849,1412440204,11,10,596.876,11,1405.34,4,169.281,11,1391.05,6,518.451,4,169.281,5,313.686,8,647.411,4,169.281
14,850,1412440204,1,5,258.017,2,145.223,9,502.659,2,145.223,10,922.885,13,819.425,3,155.762,14,1244.34,9,502.659
14,851,1412440204,3,4,193.857,9,1120.93,10,566.819,14,1789.58,3,182.048,12,755.265,4,219.923,5,353.494,10,566.819
14,852,1412440204,2,9,542.948,6,690.211,3,115.353,9,1135.04,4,292.745,3,115.353,7,539.393,6,464.191,3,115.353
14,853,1412440204,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
14,854,1412440204,12,6,324.615,8,982.921,8,436.061,7,848.427,11,989.483,9,498.142,8,633.404,12,1071.21,8,436.061
14,855,1412440204,3,4,193.857,9,1120.93,10,566.819,14,1789.58,3,182.048,12,755.265,4,219.923,5,353.494,10,566.819
14,856,1412440204,11,10,596.876,11,1405.34,4,169.281,11,1391.05,6,518.451,4,169.281,5,313.686,8,647.411,4,169.281
14,857,1412440204,8,14,840.7,3,284.376,14,865.318,3,284.376,13,1119.35,8,413.106,12,1047.02,11,986.177,13,867.991
14,858,1412440204,9,12,727.307,14,1837.34,6,299.713,13,1673.26,7,632.449,6,299.713,13,1142.79,7,533.413,6,299.713
14,859,1412440204,2,9,542.948,6,690.211,3,115.353,9,1135.04,4,292.745,3,115.353,7,539.393,6,464.191,3,115.353
14,860,1412440204,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
14,861,1412440204,13,7,389.381,10,1263.33,7,371.295,5,557.755,8,704.032,10,562.908,14,1214.37,10,887.928,7,371.295
14,862,1412440204,10,2,56.3096,7,837.275,12,704.366,6,702.781,9,849.057,14,893.253,11,920.996,3,186.722,11,707.04
14,863,1412440204,1,5,258.017,2,145.223,9,502.659,2,145.223,10,922.885,13,819.425,3,155.762,14,1244.34,9,502.659
14,864,1412440204,11,10,596.876,11,1405.34,4,169.281,11,1391.05,6,518.451,4,169.281,5,313.686,8,647.411,4,169.281
14,865,1412440204,2,9,542.948,6,690.211,3,115.353,9,1135.04,4,292.745,3,115.353,7,539.393,6,464.191,3,115.353
14,866,1412440204,13,7,389.381,10,1263.33,7,371.295,5,557.755,8,704.032,10,562.908,14,1214.37,10,887.928,7,371.295
14,867,1412440204,6,13,783.724,5,556.3,13,808.342,10,1268.95,12,1062.38,7,356.13,9,706.301,9,769.506,12,811.016
14,868,1412440204,8,14,840.7,3,284.376,14,865.318,3,284.376,13,1119.35,8,413.106,12,1047.02,11,986.177,13,867.991
14,869,1412440204,4,8,479.224,13,1698.31,2,51.6301,12,1534.23,2,51.6301,2,51.6301,10,785.904,2,51.6301,2,51.6301
14,870,1412440204,11,10,596.876,11,1405.34,4,169.281,11,1391.05,6,518.451,4,169.281,5,313.686,8,647.411,4,169.281
14,871,1412440204,12,6,324.615,8,982.921,8,436.061,7,848.427,11,989.483,9,498.142,8,633.404,12,1071.21,8,436.061
14,872,1412440204,9,12,727.307,14,1837.34,6,299.713,13,1673.26,7,632.449,6,299.713,13,1142.79,7,533.413,6,299.713
14,873,1412440204,4,8,479.224,13,1698.31,2,51.6301,12,1534.23,2,51.6301,2,51.6301,10,785.904,2,51.6301,2,51.6301
14,874,1412440204,2,9,542.948,6,690.211,3,115.353,9,1135.04,4,292.745,3,115.353,7,539.393,6,464.191,3,115.353
14,875,1412440204,11,10,596.876,11,1405.34,4,169.281,11,1391.05,6,518.451,4,169.281,5,313.686,8,647.411,4,169.281
14,876,1412440204,1,5,258.017,2,145.223,9,502.659,2,145.223,10,922.885,13,819.425,3,155.762,14,1244.34,9,502.659
14,877,1412440204,8,14,840.7,3,284.376,14,865.318,3,284.376,13,1119.35,8,413.106,12,1047.02,11,986.177,13,867.991
14,878,1412440204,3,4,193.857,9,1120.93,10,566.819,14,1789.58,3,182.048,12,755.265,4,219.923,5,353.494,10,566.819
14,879,1412440204,3,4,193.857,9,1120.93,10,566.819,14,1789.58,3,182.048,12,755.265,4,219.923,5,353.494,10,566.819
14,880,1412440204,6,13,783.724,5,556.3,13,808.342,10,1268.95,12,1062.38,7,356.13,9,706.301,9,769.506,12,811.016
