Nodes,Repetition,System Time,Object at Room,Rooms Explored (Optimal),Traveled Distance (Optimal),Rooms Explored (Worst),Traveled Distance (Worst),Rooms Explored (OptimalExpected),Traveled Distance (OptimalExpected),Rooms Explored (WorstExpected),Traveled Distance (WorstExpected),Rooms Explored (Most Probable),Traveled Distance (Most Probable),Rooms Explored (Closest),Traveled Distance (Closest),Rooms Explored (Random),Traveled Distance (Random),Rooms Explored (ExpectedTimeFixed),Traveled Distance (ExpectedTimeFixed),Rooms Explored (ExpectedTimeVariable),Traveled Distance (ExpectedTimeVariable)
14,911,1412441008,3,6,717.942,10,3560.99,4,313.421,11,4204.44,3,377.451,5,495.102,10,2200.12,4,313.421,3,238.634
14,912,1412441008,11,13,1733.07,4,1273.58,11,1328.55,8,3014.17,6,1174.22,13,1744.63,12,2774.47,9,1688.5,7,1011.01
14,913,1412441008,7,11,1469.23,11,3921.5,9,1064.71,10,3843.93,5,960.382,11,1480.78,11,2560.63,7,1221.57,6,797.168
14,914,1412441008,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
14,915,1412441008,10,14,1837.67,6,2271.82,12,1433.15,4,1433.75,9,2288.3,14,1849.22,7,1482.59,12,2810.99,9,1231.34
14,916,1412441008,10,14,1837.67,6,2271.82,12,1433.15,4,1433.75,9,2288.3,14,1849.22,7,1482.59,12,2810.99,9,1231.34
14,917,1412441008,4,7,902.41,14,4777.74,5,497.889,14,4727.08,2,192.983,7,913.967,6,1223.98,5,497.889,4,423.102
14,918,1412441008,4,7,902.41,14,4777.74,5,497.889,14,4727.08,2,192.983,7,913.967,6,1223.98,5,497.889,4,423.102
14,919,1412441008,4,7,902.41,14,4777.74,5,497.889,14,4727.08,2,192.983,7,913.967,6,1223.98,5,497.889,4,423.102
14,920,1412441008,3,6,717.942,10,3560.99,4,313.421,11,4204.44,3,377.451,5,495.102,10,2200.12,4,313.421,3,238.634
14,921,1412441008,7,11,1469.23,11,3921.5,9,1064.71,10,3843.93,5,960.382,11,1480.78,11,2560.63,7,1221.57,6,797.168
14,922,1412441008,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
14,923,1412441008,12,8,1029.81,7,2563.96,6,625.286,12,4462.71,11,3029.76,8,1041.36,13,3009.68,11,2518.85,10,1523.47
14,924,1412441008,4,7,902.41,14,4777.74,5,497.889,14,4727.08,2,192.983,7,913.967,6,1223.98,5,497.889,4,423.102
14,925,1412441008,11,13,1733.07,4,1273.58,11,1328.55,8,3014.17,6,1174.22,13,1744.63,12,2774.47,9,1688.5,7,1011.01
14,926,1412441008,8,10,1247.37,9,3282.58,8,842.854,6,2309.08,13,3571.28,10,1258.93,3,570.15,13,3105.15,11,1645.07
14,927,1412441008,4,7,902.41,14,4777.74,5,497.889,14,4727.08,2,192.983,7,913.967,6,1223.98,5,497.889,4,423.102
14,928,1412441008,4,7,902.41,14,4777.74,5,497.889,14,4727.08,2,192.983,7,913.967,6,1223.98,5,497.889,4,423.102
14,929,1412441008,3,6,717.942,10,3560.99,4,313.421,11,4204.44,3,377.451,5,495.102,10,2200.12,4,313.421,3,238.634
14,930,1412441008,2,3,151.154,3,854.541,2,66.4264,9,3433.21,4,549.659,3,151.154,4,897.944,2,66.4264,2,66.4264
14,931,1412441008,2,3,151.154,3,854.541,2,66.4264,9,3433.21,4,549.659,3,151.154,4,897.944,2,66.4264,2,66.4264
14,932,1412441008,7,11,1469.23,11,3921.5,9,1064.71,10,3843.93,5,960.382,11,1480.78,11,2560.63,7,1221.57,6,797.168
14,933,1412441008,3,6,717.942,10,3560.99,4,313.421,11,4204.44,3,377.451,5,495.102,10,2200.12,4,313.421,3,238.634
14,934,1412441008,1,2,44.7279,12,4316.32,3,172.852,7,2621.81,10,2737.18,2,44.7279,5,1004.37,3,172.852,13,2238.53
14,935,1412441008,10,14,1837.67,6,2271.82,12,1433.15,4,1433.75,9,2288.3,14,1849.22,7,1482.59,12,2810.99,9,1231.34
14,936,1412441008,5,4,266.965,5,1744.44,14,2246.65,3,906.37,14,3950.91,4,266.965,14,3369.16,10,2159.37,14,2416.17
14,937,1412441008,5,4,266.965,5,1744.44,14,2246.65,3,906.37,14,3950.91,4,266.965,14,3369.16,10,2159.37,14,2416.17
14,938,1412441008,2,3,151.154,3,854.541,2,66.4264,9,3433.21,4,549.659,3,151.154,4,897.944,2,66.4264,2,66.4264
14,939,1412441008,11,13,1733.07,4,1273.58,11,1328.55,8,3014.17,6,1174.22,13,1744.63,12,2774.47,9,1688.5,7,1011.01
14,940,1412441008,1,2,44.7279,12,4316.32,3,172.852,7,2621.81,10,2737.18,2,44.7279,5,1004.37,3,172.852,13,2238.53
14,941,1412441008,3,6,717.942,10,3560.99,4,313.421,11,4204.44,3,377.451,5,495.102,10,2200.12,4,313.421,3,238.634
14,942,1412441008,2,3,151.154,3,854.541,2,66.4264,9,3433.21,4,549.659,3,151.154,4,897.944,2,66.4264,2,66.4264
14,943,1412441008,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
14,944,1412441008,12,8,1029.81,7,2563.96,6,625.286,12,4462.71,11,3029.76,8,1041.36,13,3009.68,11,2518.85,10,1523.47
14,945,1412441008,3,6,717.942,10,3560.99,4,313.421,11,4204.44,3,377.451,5,495.102,10,2200.12,4,313.421,3,238.634
14,946,1412441008,11,13,1733.07,4,1273.58,11,1328.55,8,3014.17,6,1174.22,13,1744.63,12,2774.47,9,1688.5,7,1011.01
14,947,1412441008,8,10,1247.37,9,3282.58,8,842.854,6,2309.08,13,3571.28,10,1258.93,3,570.15,13,3105.15,11,1645.07
14,948,1412441008,9,9,1146.68,13,4630.24,7,742.156,13,4579.58,7,1414.59,9,1158.23,9,1920.51,8,1448.14,5,570.599
14,949,1412441008,2,3,151.154,3,854.541,2,66.4264,9,3433.21,4,549.659,3,151.154,4,897.944,2,66.4264,2,66.4264
14,950,1412441008,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
14,951,1412441008,13,5,574.516,8,2913.2,13,1939.1,5,1939.7,8,1782.34,6,638.528,2,200.77,6,773.328,12,2014.45
