Nodes,Repetition,System Time,Object at Room,Rooms Explored (Optimal),Traveled Distance (Optimal),Rooms Explored (Worst),Traveled Distance (Worst),Rooms Explored (OptimalExpected),Traveled Distance (OptimalExpected),Rooms Explored (WorstExpected),Traveled Distance (WorstExpected),Rooms Explored (Most Probable),Traveled Distance (Most Probable),Rooms Explored (Closest),Traveled Distance (Closest),Rooms Explored (Random),Traveled Distance (Random),Rooms Explored (ExpectedTimeFixed),Traveled Distance (ExpectedTimeFixed),Rooms Explored (ExpectedTimeVariable),Traveled Distance (ExpectedTimeVariable)
14,854,1412442009,12,6,324.615,8,982.921,13,776.324,12,1561.35,13,1426.77,9,498.142,8,633.404,11,953.514,9,498.142
14,855,1412442009,4,8,479.224,13,1698.31,2,51.6301,10,1303.66,5,499.909,2,51.6301,10,785.904,2,51.6301,2,51.6301
14,856,1412442009,11,10,596.876,11,1405.34,4,169.281,8,1010.69,12,1317.91,4,169.281,5,313.686,10,844.65,4,169.281
14,857,1412442009,9,12,727.307,14,1837.34,6,299.713,11,1442.68,10,1131.25,6,299.713,13,1142.79,8,631.054,6,299.713
14,858,1412442009,9,12,727.307,14,1837.34,6,299.713,11,1442.68,10,1131.25,6,299.713,13,1142.79,8,631.054,6,299.713
14,859,1412442009,2,9,542.948,6,690.211,3,115.353,5,576.586,3,258.794,3,115.353,7,539.393,13,1202.22,3,115.353
14,860,1412442009,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
14,861,1412442009,13,7,389.381,10,1263.33,14,841.09,7,868.675,14,1491.54,10,562.908,14,1214.37,9,702.637,10,562.908
14,862,1412442009,10,2,56.3096,7,837.275,11,635.899,6,723.65,11,1232.5,14,893.253,11,920.996,3,186.722,14,893.253
14,863,1412442009,1,5,258.017,2,145.223,12,709.727,2,145.223,2,145.223,13,819.425,3,155.762,14,1315.79,13,819.425
14,864,1412442009,12,6,324.615,8,982.921,13,776.324,12,1561.35,13,1426.77,9,498.142,8,633.404,11,953.514,9,498.142
14,865,1412442009,2,9,542.948,6,690.211,3,115.353,5,576.586,3,258.794,3,115.353,7,539.393,13,1202.22,3,115.353
14,866,1412442009,13,7,389.381,10,1263.33,14,841.09,7,868.675,14,1491.54,10,562.908,14,1214.37,9,702.637,10,562.908
14,867,1412442009,7,11,675.305,4,429.309,5,247.711,4,429.309,8,890.548,5,247.711,6,392.116,7,579.052,5,247.711
14,868,1412442009,9,12,727.307,14,1837.34,6,299.713,11,1442.68,10,1131.25,6,299.713,13,1142.79,8,631.054,6,299.713
14,869,1412442009,6,13,783.724,5,556.3,7,356.13,14,1810.62,7,763.556,7,356.13,9,706.301,5,377.144,7,356.13
14,870,1412442009,11,10,596.876,11,1405.34,4,169.281,8,1010.69,12,1317.91,4,169.281,5,313.686,10,844.65,4,169.281
14,871,1412442009,12,6,324.615,8,982.921,13,776.324,12,1561.35,13,1426.77,9,498.142,8,633.404,11,953.514,9,498.142
14,872,1412442009,9,12,727.307,14,1837.34,6,299.713,11,1442.68,10,1131.25,6,299.713,13,1142.79,8,631.054,6,299.713
14,873,1412442009,5,3,132.976,12,1548.42,10,559.232,9,1153.77,6,649.801,11,694.384,2,65.6679,4,263.389,11,694.384
14,874,1412442009,2,9,542.948,6,690.211,3,115.353,5,576.586,3,258.794,3,115.353,7,539.393,13,1202.22,3,115.353
14,875,1412442009,11,10,596.876,11,1405.34,4,169.281,8,1010.69,12,1317.91,4,169.281,5,313.686,10,844.65,4,169.281
14,876,1412442009,2,9,542.948,6,690.211,3,115.353,5,576.586,3,258.794,3,115.353,7,539.393,13,1202.22,3,115.353
14,877,1412442009,9,12,727.307,14,1837.34,6,299.713,11,1442.68,10,1131.25,6,299.713,13,1142.79,8,631.054,6,299.713
14,878,1412442009,4,8,479.224,13,1698.31,2,51.6301,10,1303.66,5,499.909,2,51.6301,10,785.904,2,51.6301,2,51.6301
14,879,1412442009,4,8,479.224,13,1698.31,2,51.6301,10,1303.66,5,499.909,2,51.6301,10,785.904,2,51.6301,2,51.6301
14,880,1412442009,7,11,675.305,4,429.309,5,247.711,4,429.309,8,890.548,5,247.711,6,392.116,7,579.052,5,247.711
14,881,1412442009,6,13,783.724,5,556.3,7,356.13,14,1810.62,7,763.556,7,356.13,9,706.301,5,377.144,7,356.13
